,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_ia3_model_summaries,peft_lora_model_summaries
10,#Person1# attends Brian's birthday party. Brian thinks #Person1# looks great and charming.,Brian's birthday party.,Brian's birthday is coming up.,Brian invites Brian to a dance with him. Brian's party is a good party and Brian looks pretty today. Brian's necklace goes with his dress and #Person1# thinks Brian looks good.,Brian invites #Person1# to the party and Brian is very popular with everyone. #Person1# thinks Brian looks pretty today and wants to have a drink together.
11,#Person1# has a dance with Brian at Brian's birthday party. Brian thinks #Person1# looks great and is popular.,Brian's birthday is coming up.,Brian's birthday is coming up.,Brian invites Brian to a dance with him. Brian's party is a good party and Brian looks pretty today. Brian's necklace goes with his dress and #Person1# thinks Brian looks good.,Brian invites #Person1# to the party and Brian is very popular with everyone. #Person1# thinks Brian looks pretty today and wants to have a drink together.
12,"#Person1# is surprised at the Olympic Stadium'volume, capacity and interior setting to #Person1#.",The Olympic Park is so big.,The Olympic stadium is the center of the Olympic park.,"#Person1# and #Person2# are in the Olympic stadium, the center of this park, and the whole stadium is to be finished this June. #Person1# tells #Person2# there are 5000 seats in total. #Person2# puts signs with English translations for foreign visitors.",#Person2# tells #Person1# the Olympic park is big and the stadium is to be finished this June. #Person1# thinks it's big.
13,#Person2# shows #Person1# around the constructing Olympic stadium and introduces the stadium.,The Olympic Park is so big!,The Olympic stadium is the center of the Olympic park.,"#Person1# and #Person2# are in the Olympic stadium, the center of this park, and the whole stadium is to be finished this June. #Person1# tells #Person2# there are 5000 seats in total. #Person2# puts signs with English translations for foreign visitors.",#Person2# tells #Person1# the Olympic park is big and the stadium is to be finished this June. #Person1# thinks it's big.
14,"#Person2# introduces the Olympic Stadium's finishing time, capacity and interior setting to #Person1#.",The Olympic stadium is a huge space with a lot of seats.,The Olympic stadium is the center of the Olympic park.,"#Person1# and #Person2# are in the Olympic stadium, the center of this park, and the whole stadium is to be finished this June. #Person1# tells #Person2# there are 5000 seats in total. #Person2# puts signs with English translations for foreign visitors.",#Person2# tells #Person1# the Olympic park is big and the stadium is to be finished this June. #Person1# thinks it's big.
15,"#Person1# wants to create a company and is going to write a business plan. #Person2# gives #Person1# suggestions on how to summarise business ideas, describe the service, differ from competitors and attract investment in a good business plan. #Person1# decides to stick to the old job.",Write a business plan.,Write a business plan. Write a market analysis. Write a strategy.,#Person1# wants to create a business plan and wants to explain the business plan and the business plan. #Person1# tells #Person2# the most important piece of information for #Person1#'s investors is the financial analysis. #Person1# thinks #Person1# will stick to #Person2#'s old job and save #Person1# all the hassle of trying to start up a business.,#Person1# is done working for a company that is taking #Person1# nowhere. #Person2# tells #Person1# that #Person1# will write up a business plan and get some investors. #Person1# thinks #Person1# will stick to #Person1#'s old job and save #Person1# all the hassle of starting up a business.
16,"#Person1# abandons the idea of creating a company after #Person2# explains what a business plan includes. #Person2# specifies that a well-written business plan includes an executive summary, goods and service description, strategy and implementation, and financial analysis.","#Person1: I'm done working for a company that is taking me nowhere! #Person2: Well, I've been working for a company that is taking me nowhere! #Person1: I'm done! I'm going to write a business plan and get some investors to help me! #Person1: I'm going to write a business plan and get some investors!",Write a business plan. Write a market analysis. Write a strategy.,#Person1# wants to create a business plan and wants to explain the business plan and the business plan. #Person1# tells #Person2# the most important piece of information for #Person1#'s investors is the financial analysis. #Person1# thinks #Person1# will stick to #Person2#'s old job and save #Person1# all the hassle of trying to start up a business.,#Person1# is done working for a company that is taking #Person1# nowhere. #Person2# tells #Person1# that #Person1# will write up a business plan and get some investors. #Person1# thinks #Person1# will stick to #Person1#'s old job and save #Person1# all the hassle of starting up a business.
17,"#Person1# wants to start #Person1#'s own business, but #Person2# warns #Person1# of the hassle. #Person2# tells #Person1# what is needed in a business plan and #Person1# decides to stick to the old job for now.",Write a business plan.,Write a business plan. Write a market analysis. Write a strategy.,#Person1# wants to create a business plan and wants to explain the business plan and the business plan. #Person1# tells #Person2# the most important piece of information for #Person1#'s investors is the financial analysis. #Person1# thinks #Person1# will stick to #Person2#'s old job and save #Person1# all the hassle of trying to start up a business.,#Person1# is done working for a company that is taking #Person1# nowhere. #Person2# tells #Person1# that #Person1# will write up a business plan and get some investors. #Person1# thinks #Person1# will stick to #Person1#'s old job and save #Person1# all the hassle of starting up a business.
18,#Person2# feels itchy. #Person1# doubts it is chicken pox and asks #Person2# to get away. #Person2# doesn't believe it.,#Pretty____________________________________________________________________________________________________________________________________________________________________________________________________,Get a medical checkup.,#Person2# feels itchy and feels lightheaded. #Person1# tells #Person2# #Person2# has chicken pox and #Person2# thinks #Person2# is contagious. #Person2# thinks #Person2# is a biohazard and will go take an oatmeal bath.,#Person2# feels itchy and feels lightheaded and weak. #Person1# thinks #Person2# has chicken pox and #Person2# is a biohazard. #Person2# thinks #Person2# is a biohazard.
19,#Person1# suspects that #Person2# has chicken pox and wants to keep away from #Person2#. #Person2# thinks #Person1# is exaggerating.,Is it a chicken pox or an allergy?,Get a medical checkup.,#Person2# feels itchy and feels lightheaded. #Person1# tells #Person2# #Person2# has chicken pox and #Person2# thinks #Person2# is contagious. #Person2# thinks #Person2# is a biohazard and will go take an oatmeal bath.,#Person2# feels itchy and feels lightheaded and weak. #Person1# thinks #Person2# has chicken pox and #Person2# is a biohazard. #Person2# thinks #Person2# is a biohazard.
20,#Person1# thinks #Person2# has chicken pox and warns #Person2# about the possible hazards but #Person2# thinks it will be fine.,Is it a fluke?,Get a medical checkup.,#Person2# feels itchy and feels lightheaded. #Person1# tells #Person2# #Person2# has chicken pox and #Person2# thinks #Person2# is contagious. #Person2# thinks #Person2# is a biohazard and will go take an oatmeal bath.,#Person2# feels itchy and feels lightheaded and weak. #Person1# thinks #Person2# has chicken pox and #Person2# is a biohazard. #Person2# thinks #Person2# is a biohazard.
21,#Person2# is checking out and asks #Person1# for the bill. #Person1# gives #Person2# a wrong bill at first then corrects it.,The bill for the laundry service is due today.,I'm in Room 309. I'm checking out today. Can I have your laundry service charge now?,#Person2# checks out today and asks #Person1# to check out. #Person2#'s laundry service is not included in the bill. #Person1# apologizes and will correct the bill.,#Person2# is checking out today and #Person1# tells #Person2# the charge for #Person2#'s laundry service on Nov. 20th has been a mistake. #Person1# will correct the bill.
22,#Person1# helps #Person2# correct a mischarged bill on laundry service and helps #Person2# check out.,The charge for your laundry service is 30 dollars.,I'm in Room 309. I'm checking out today. Can I have your laundry service charge now?,#Person2# checks out today and asks #Person1# to check out. #Person2#'s laundry service is not included in the bill. #Person1# apologizes and will correct the bill.,#Person2# is checking out today and #Person1# tells #Person2# the charge for #Person2#'s laundry service on Nov. 20th has been a mistake. #Person1# will correct the bill.
23,#Person2# finds #Person2# being mischarged. #Person1# corrects the bill and #Person2# pays for it.,The laundry charge for Nov. 20th is $17.,I'm in Room 309. I'm checking out today. Can I have your laundry service charge now?,#Person2# checks out today and asks #Person1# to check out. #Person2#'s laundry service is not included in the bill. #Person1# apologizes and will correct the bill.,#Person2# is checking out today and #Person1# tells #Person2# the charge for #Person2#'s laundry service on Nov. 20th has been a mistake. #Person1# will correct the bill.
24,#Person1# is begging Steven to persuade his wife not to divorce him. Steven agrees.,I'm sorry to hear that you cheat on your wife.,I need your help.,Steven tells #Person1# his wife has an affair with his secretary and is going to divorce him. Steven promises to persuade her to reconsider the divorce.,Steven tells #Person1# #Person1# has an affair with his secretary and is going to divorce #Person1#. #Person1# swears that the affair lasts only for two months. Steven will try to persuade her to reconsider the divorce.
25,Steve will try to persuade #Person1#'s wife not to divorce #Person1# as #Person1# swears to remain faithful forever.,Steven: I need your help.,I need your help.,Steven tells #Person1# his wife has an affair with his secretary and is going to divorce him. Steven promises to persuade her to reconsider the divorce.,Steven tells #Person1# #Person1# has an affair with his secretary and is going to divorce #Person1#. #Person1# swears that the affair lasts only for two months. Steven will try to persuade her to reconsider the divorce.
26,"#Person1# begs Steven's to persuade #Person1#'s wife not to divorce him, and Steven agrees.","Steven, please help me.",I need your help.,Steven tells #Person1# his wife has an affair with his secretary and is going to divorce him. Steven promises to persuade her to reconsider the divorce.,Steven tells #Person1# #Person1# has an affair with his secretary and is going to divorce #Person1#. #Person1# swears that the affair lasts only for two months. Steven will try to persuade her to reconsider the divorce.
27,#Person1# and #Person2# are talking about Abraham Lincoln. They think he was a noble man.,#Person1#: I think of Abraham Lincoln. #Person2#: I think of Abraham Lincoln. #Person2#: I think of Abraham Lincoln. #Person2#: I think of Abraham Lincoln. #Person1#: I think of Abraham Lincoln. #Person2#: I think of Abraham Lincoln. #Person1#: I think of Abraham Lincoln. #Person2#: I think of Abraham Lincoln. #Person1#: I think of Abraham Lincoln. #Person1#: I think of Abraham Lincoln. #Person2#: I think of Abraham Lincoln. #Person1#: I think of Abraham Lincoln. #Person1#: I think of Abraham Lincoln.,I think Abraham Lincoln is a great man.,#Person2# thinks Abraham Lincoln is a man or woman of sound character. #Person1# thinks Abraham Lincoln was famous for never giving up on his goals. #Person2# admires Abraham Lincoln for his courage in fighting for equal rights.,#Person2# thinks Abraham Lincoln is a man or woman of sound character and admires him for his courage and humility.
28,"#Person2# admires Abraham Lincoln for his perseverance, courage and humility.",I think the US President was famous for his courage and his determination.,I think Abraham Lincoln is a great man.,#Person2# thinks Abraham Lincoln is a man or woman of sound character. #Person1# thinks Abraham Lincoln was famous for never giving up on his goals. #Person2# admires Abraham Lincoln for his courage in fighting for equal rights.,#Person2# thinks Abraham Lincoln is a man or woman of sound character and admires him for his courage and humility.
29,#Person1# and #Person2# talk about Abraham Lincoln and his glorious history. They both admire him.,"The President of the United States was famous for his philandering, philanthropic, and philanthropy.",I think Abraham Lincoln is a great man.,#Person2# thinks Abraham Lincoln is a man or woman of sound character. #Person1# thinks Abraham Lincoln was famous for never giving up on his goals. #Person2# admires Abraham Lincoln for his courage in fighting for equal rights.,#Person2# thinks Abraham Lincoln is a man or woman of sound character and admires him for his courage and humility.
30,#Person2# plans to have a trip in Hebei but #Person1# says there are sandstorms in there.,The sandstorms are a common cause of respiratory tract infections.,The sandstorms in China are causing a lot of health problems.,#Person2# tells #Person1# that China is experiencing severe sandstorms and the North of China is experiencing severe sandstorms. #Person1# thinks the sandstorms are trouble for everybody.,#Person2# tells #Person1# the north of China is experiencing severe sandstorms. #Person1# tells #Person2# the number of people with respiratory tract infections tended to rise after sandstorms.
31,#Person1# tells #Person2# Hebei was experiencing severe sandstorms and sandstorms threaten people's health.,The report said that the number of respiratory tract infections tended to increase after sandstorms.,The sandstorms in China are causing a lot of health problems.,#Person2# tells #Person1# that China is experiencing severe sandstorms and the North of China is experiencing severe sandstorms. #Person1# thinks the sandstorms are trouble for everybody.,#Person2# tells #Person1# the north of China is experiencing severe sandstorms. #Person1# tells #Person2# the number of people with respiratory tract infections tended to rise after sandstorms.
32,#Person2# wants to travel to Hebei but #Person1# informs #Person2# of terrible sandstorms there.,I'm going to Hebei.,The sandstorms in China are causing a lot of health problems.,#Person2# tells #Person1# that China is experiencing severe sandstorms and the North of China is experiencing severe sandstorms. #Person1# thinks the sandstorms are trouble for everybody.,#Person2# tells #Person1# the north of China is experiencing severe sandstorms. #Person1# tells #Person2# the number of people with respiratory tract infections tended to rise after sandstorms.
33,#Person2# comes to the birthday party of Francis and sends him a remote car model.,The birthday party is now over.,The gift is for Francis's birthday.,Francis presents Francis a remote car model and his favorite brand. Francis is happy to open it now. Francis is happy to give Francis a nice little car.,Francis is celebrating his birthday with a remote car model and his favorite brand. #Person2# is happy to give Francis a nice little car.
34,#Person2# gives Francis a car model that both of them love as a birthday gift.,#Person1: Thank you for inviting me. #Person2: Thank you for inviting me. #Person1: Thank you for inviting me. #Person2: Thank you for inviting me. #Person1: Thank you for inviting me. #Person2: Thank you for coming to my birthday party.,The gift is for Francis's birthday.,Francis presents Francis a remote car model and his favorite brand. Francis is happy to open it now. Francis is happy to give Francis a nice little car.,Francis is celebrating his birthday with a remote car model and his favorite brand. #Person2# is happy to give Francis a nice little car.
35,#Person2# gives Francis a nice car model as a birthday gift and Francis appreciates it.,Thank you for inviting me to your birthday party.,The gift is for Francis's birthday.,Francis presents Francis a remote car model and his favorite brand. Francis is happy to open it now. Francis is happy to give Francis a nice little car.,Francis is celebrating his birthday with a remote car model and his favorite brand. #Person2# is happy to give Francis a nice little car.
36,Tony got caught cheating and feels ashamed. Steven tells him to learn from it and study hard.,"Steven, you look a lot like Steven.","Hi, Steven.",Steven feels ashamed because he got caught cheating. Steven tells #Person1# he should study hard.,Tony tells Steven he got caught cheating and he feels ashamed. Steven advises Tony to study hard.
37,Tony tells Steven that he failed a class because of cheating and he feels awful.,The teacher caught Tony cheating and told him he had to do it.,"Hi, Steven.",Steven feels ashamed because he got caught cheating. Steven tells #Person1# he should study hard.,Tony tells Steven he got caught cheating and he feels ashamed. Steven advises Tony to study hard.
38,Tony tells Steven that he cheated on the exam and realized his mistake.,The teacher caught Tony cheating.,"Hi, Steven.",Steven feels ashamed because he got caught cheating. Steven tells #Person1# he should study hard.,Tony tells Steven he got caught cheating and he feels ashamed. Steven advises Tony to study hard.
39,#Person1# is catching a train. Tom asks #Person1# not to hurry.,"The train is about to start, but the train station is too far.",The train is about to leave.,Tom tells #Person1# he must catch the nine-thirty train. Tom tells Tom he has plenty of time yet.,Tom tells #Person1# it's late and #Person1# must catch the nine-thirty train.
40,#Person1# is in a hurry to catch a train. Tom tells #Person1# there is plenty of time.,The train is late.,The train is about to leave.,Tom tells #Person1# he must catch the nine-thirty train. Tom tells Tom he has plenty of time yet.,Tom tells #Person1# it's late and #Person1# must catch the nine-thirty train.
41,#Person1# is rushing to catch a train but Tom thinks it isn't necessary.,The train is leaving at nine thirty.,The train is about to leave.,Tom tells #Person1# he must catch the nine-thirty train. Tom tells Tom he has plenty of time yet.,Tom tells #Person1# it's late and #Person1# must catch the nine-thirty train.
42,#Person1# wants to adjust #Person1#'s life and #Person2# suggests #Person1# be positive and stay healthy.,I'm not sure how to adjust my life.,Ask for advice.,#Person1# tells #Person2# #Person1# can't sleep well every night and drink a lot of wine. #Person1# often feels tired and feels tired. #Person2# advises #Person1# to do some exercise every morning.,"#Person1# asks #Person2# for advice on how to adjust #Person1#'s life. #Person2# advises #Person1# to get plenty of sleep, drink plenty of wine, and exercise every morning."
43,#Person1# has a bad lifestyle. #Person2# kindly advises #Person1# to be positive.,You're a very young person. You're a very good person. You're a very good person. You're a very good person.,Ask for advice.,#Person1# tells #Person2# #Person1# can't sleep well every night and drink a lot of wine. #Person1# often feels tired and feels tired. #Person2# advises #Person1# to do some exercise every morning.,"#Person1# asks #Person2# for advice on how to adjust #Person1#'s life. #Person2# advises #Person1# to get plenty of sleep, drink plenty of wine, and exercise every morning."
44,#Person2# hopes #Person1# will become healthy and positive.,Is it okay if you're not getting enough sleep every night?,Ask for advice.,#Person1# tells #Person2# #Person1# can't sleep well every night and drink a lot of wine. #Person1# often feels tired and feels tired. #Person2# advises #Person1# to do some exercise every morning.,"#Person1# asks #Person2# for advice on how to adjust #Person1#'s life. #Person2# advises #Person1# to get plenty of sleep, drink plenty of wine, and exercise every morning."
45,#Person1# tells #Person2# that Ruojia is married and will have a party tonight. #Person2#'s surprised to know that. They will bring their gifts to bless her.,Ruojia has got married.,Ruojia has got married.,#Person1# invites Ruojia's party tonight. #Person2# tells #Person1# that Ruojia got married yesterday. #Person1# tells #Person2# that she has got married. #Person2# will bring something to wish her happy marriage.,#Person1# invites #Person2# to Ruojia's party tonight. #Person2# feels happy for her and #Person1# will buy a tea set.
46,#Person2# is surprised to know from #Person1# that Ruojia is married. Then #Person2# finds Ruojia has sent an email about it. They will go to Ruojia's party and give their presents to her.,You are invited to Ruojia's party tonight.,Ruojia has got married.,#Person1# invites Ruojia's party tonight. #Person2# tells #Person1# that Ruojia got married yesterday. #Person1# tells #Person2# that she has got married. #Person2# will bring something to wish her happy marriage.,#Person1# invites #Person2# to Ruojia's party tonight. #Person2# feels happy for her and #Person1# will buy a tea set.
47,#Person2# is surprised that Ruojia's married. #Person1# and #Person2# will go to her party and give their presents to wish her a happy marriage.,I'd like to go to the party tonight.,Ruojia has got married.,#Person1# invites Ruojia's party tonight. #Person2# tells #Person1# that Ruojia got married yesterday. #Person1# tells #Person2# that she has got married. #Person2# will bring something to wish her happy marriage.,#Person1# invites #Person2# to Ruojia's party tonight. #Person2# feels happy for her and #Person1# will buy a tea set.
48,#Person2# at first thinks #Person1#'s behaviour cruel but finally joins #Person1#.,The man is a nice guy.,Get a strip of a shirt.,#Person1# and #Person2# are talking about the strip and the sexy women. #Person1# thinks it's cruel and cruel. #Person2# tells #Person1# it's fun and #Person1# thinks it's cruel. #Person1#'ll hand it over.,#Person1# tells #Person2# to pull on the strip and peel off the back. #Person2# thinks it's cruel and wants to get a shot.
49,#Person1# plans on playing a trick to others. #Person2# thinks it's cruel at first but then joins.,#Person1: You're not meant to be your friends. #Person2: You mean your friends. They're not meant to be our friends. #Person1: I know.,Get a strip of a shirt.,#Person1# and #Person2# are talking about the strip and the sexy women. #Person1# thinks it's cruel and cruel. #Person2# tells #Person1# it's fun and #Person1# thinks it's cruel. #Person1#'ll hand it over.,#Person1# tells #Person2# to pull on the strip and peel off the back. #Person2# thinks it's cruel and wants to get a shot.
50,#Person1# is about to make a prank. #Person2# thinks it's cruel at first but then joins.,: - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,Get a strip of a shirt.,#Person1# and #Person2# are talking about the strip and the sexy women. #Person1# thinks it's cruel and cruel. #Person2# tells #Person1# it's fun and #Person1# thinks it's cruel. #Person1#'ll hand it over.,#Person1# tells #Person2# to pull on the strip and peel off the back. #Person2# thinks it's cruel and wants to get a shot.
51,Mike is describing his sister to #Person1#.,"Then, Mike's sister is a little bit bigger than he is.",Mike's sister is tall and pretty.,Mike tells #Person1# Mike's sister looks like Mike and Mike's sister is friendly and easy-going. Mike thinks she's not as clever as Mike.,Mike tells #Person1# his sister is tall and pretty. #Person1# thinks she's not as clever as Mike.
52,Mike describes to #Person1# his sister's characters and personality.,Mike's a very smart and friendly girl.,Mike's sister is tall and pretty.,Mike tells #Person1# Mike's sister looks like Mike and Mike's sister is friendly and easy-going. Mike thinks she's not as clever as Mike.,Mike tells #Person1# his sister is tall and pretty. #Person1# thinks she's not as clever as Mike.
53,#Person1# asks Mike about his sister.,Mike and his sister are both friendly and easy-going.,Mike's sister is tall and pretty.,Mike tells #Person1# Mike's sister looks like Mike and Mike's sister is friendly and easy-going. Mike thinks she's not as clever as Mike.,Mike tells #Person1# his sister is tall and pretty. #Person1# thinks she's not as clever as Mike.
54,#Person1# feels sick and #Person2# gives #Person1# a check-up.,#Person1#: I have a headache.,Take your temperature.,#Person1# has a headache and #Person2# helps #Person1# with a thermometer. #Person1# thinks #Person1# has a small fever and #Person2# advises #Person1# to call in sick.,#Person1# has a headache and #Person2# takes #Person1#'s temperature with a thermometer. #Person1# feels dizzy this morning.
55,#Person2# finds that #Person1# has a fever and says #Person1# should've called in sick earlier.,I'm taking a thermometer.,Take your temperature.,#Person1# has a headache and #Person2# helps #Person1# with a thermometer. #Person1# thinks #Person1# has a small fever and #Person2# advises #Person1# to call in sick.,#Person1# has a headache and #Person2# takes #Person1#'s temperature with a thermometer. #Person1# feels dizzy this morning.
56,#Person2# checks #Person1#'s physical condition and finds #Person1# has a fever.,I'm having a headache.,Take your temperature.,#Person1# has a headache and #Person2# helps #Person1# with a thermometer. #Person1# thinks #Person1# has a small fever and #Person2# advises #Person1# to call in sick.,#Person1# has a headache and #Person2# takes #Person1#'s temperature with a thermometer. #Person1# feels dizzy this morning.
57,#Person1# helps #Person2# to choose a new phone.,You're welcome.,#Person1#: I'd like to buy a new mobile phone.,#Person2# wants to buy a new mobile phone. #Person1# wants a phone with camera and MP3 player and will make video calls.,#Person2# wants to buy a new mobile phone with camera and MP3 player.
58,#Person2# wants to buy a new mobile phone from #Person1#.,"#Person1#: Can you help me? #Person2#: Can you help me? #Person1#: Can you help me? #Person2: Yes, I'd like a new mobile phone. #Person1#: OK, I'd like a phone with camera and MP3 player. #Person1#: I'd like a phone with a camera and a video phone. #Person1#: Ok, I'd like a new phone. #Person1#: I'd like a phone with a camera and MP3 player. #Person2#: Ok, I'd like a phone with a camera and a MP3 player. #Person1#: I'd like a phone with a camera and a video phone. #Person2#: Ok, I'd like a phone with ",#Person1#: I'd like to buy a new mobile phone.,#Person2# wants to buy a new mobile phone. #Person1# wants a phone with camera and MP3 player and will make video calls.,#Person2# wants to buy a new mobile phone with camera and MP3 player.
59,#Person2# wants to buy a new mobile phone from #Person1#.,I'd like to buy a new mobile phone.,#Person1#: I'd like to buy a new mobile phone.,#Person2# wants to buy a new mobile phone. #Person1# wants a phone with camera and MP3 player and will make video calls.,#Person2# wants to buy a new mobile phone with camera and MP3 player.
60,Frank got a new job and is telling Judy not only the heavy schedule but also the benefits of this job.,Judy is going to the Post Office.,Judy has a new job.,Judy got a new job and she will be working for the Post Office. Frank tells #Person1# she has a heavy work schedule and she's supposed to work at 5am everyday and only gets 45 minutes for lunch. Judy's family members can use the health insurance benefits.,Frank tells Judy he got a new job because he has a heavy work schedule and the government offers excellent health insurance benefits. Judy thinks it's a great employment benefit.
61,Frank explains to Judy the reason why he took a job at the Post office is that the government offers excellent health insurance benefits for its employees.,"Judy, I heard you got a new job.",Judy has a new job.,Judy got a new job and she will be working for the Post Office. Frank tells #Person1# she has a heavy work schedule and she's supposed to work at 5am everyday and only gets 45 minutes for lunch. Judy's family members can use the health insurance benefits.,Frank tells Judy he got a new job because he has a heavy work schedule and the government offers excellent health insurance benefits. Judy thinks it's a great employment benefit.
62,Frank describes his new job's schedule and insurance at the Post Office to Judy.,Judy is looking for a post office job.,Judy has a new job.,Judy got a new job and she will be working for the Post Office. Frank tells #Person1# she has a heavy work schedule and she's supposed to work at 5am everyday and only gets 45 minutes for lunch. Judy's family members can use the health insurance benefits.,Frank tells Judy he got a new job because he has a heavy work schedule and the government offers excellent health insurance benefits. Judy thinks it's a great employment benefit.
63,#Person2# is describing the educational background and previous working experience to #Person1# in a job interview.,Is there a particular job you're looking for?,Find a job.,"#Person2# tells #Person1# #Person2# has a good command of secretarial skills, a good command of secretarial skills, and a good command of secretarial skills. #Person2# has a good command of secretarial skills and has a good command of secretarial skills. #Person2# also has special training in office skills. #Person2# also got special training in typing, shorthand, operating a fax machine, and other office equipment.","#Person2# tells #Person1# #Person2# has special skills and has passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English. #Person2# also got special training in office skills and has passed the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English."
